Phase,Workstream,Task_ID,Task_Title,Description,Current_Status,Priority,Interest_Area,Suggested_Owner,Story_Points,Dependencies,Definition_of_Done,Notes
Phase 1 - Core Product,Lineage,T015,Lineage graph and ETL relations,Visualize upstream downstream links and relation types,Done,High,Data Engineering,Full Stack Engineer,13,T012|T014,Lineage graph displays flow and reference relations,Supports navigation in ETL context
Phase 1 - Core Product,Pipelines,T016,Pipeline builder and step runs,Create editable pipelines with step ordering and run logs,Done,High,Data Engineering,Backend Engineer,13,T015,Pipeline CRUD and execution tracking are available,Execution records stored in app store
Phase 1 - Core Product,Orchestration,T017,Workflow studio and scheduling,Compose multi-pipeline workflows with interval or cron schedules,Done,High,Data Engineering,Full Stack Engineer,13,T016,Workflow graph can be saved scheduled and manually run,APScheduler integration present
Phase 1 - Core Product,Modeling,T018,Entity development module,Model authoring validation templates and deploy flow,Done,High,Data Modeling,Full Stack Engineer,13,T011|T012,Users create validate deploy models to target schema,Includes template support
Phase 1 - Core Product,AI Insights,T019,Natural language insights assistant,Translate prompts to SQL with result explanations and disambiguation,Done,High,AI Engineering,AI Engineer,13,T014,Chat flow returns SQL evidence and preview results,RAG and disambiguation patterns are present
Phase 1 - Core Product,Utilities,T020,Environment comparator and sync,Compare source and target schema objects and produce sync scripts,Done,Medium,Data Engineering,Full Stack Engineer,8,T012|T014,Diff results classify object mismatch and export sync package,Currently PostgreSQL-focused
Phase 1 - Core Product,Utilities,T021,SQL optimizer and dedup toolkit,Generate optimized SQL dedup strategy and benchmark outputs,Done,Medium,Performance Engineering,Backend Engineer,8,T014,Optimizer returns rewrites and benchmark statistics,Currently PostgreSQL-focused
Phase 1 - Core Product,Administration,T022,Admin users and connection assignment,Manage user roles and assign shared connections,Done,High,Admin Tools,Full Stack Engineer,8,T010|T011,Admin can create users update roles and assign connection context,Core governance implemented
Phase 1.5 - Hardening,Data Access,T030,Connection ID consistency hardening,Align IDs between app store and SQLAlchemy tables to avoid access drift,In Progress,High,Backend,Backend Engineer,8,T011|T022,No user loses visibility due to mismatched connection identifiers,Known integration risk area
Phase 1.5 - Hardening,Model Deployment,T031,Deploy SQL parity and error handling,Keep frontend SQL preview and backend execution behavior fully aligned,In Progress,High,Backend,Full Stack Engineer,5,T018,Deploy preview matches executed SQL and returns actionable failures,Recent fixes are present and need regression validation
Phase 1.5 - Hardening,Cross DB,T032,Cross database parity for utilities,Expand env tools and optimizer beyond PostgreSQL-first behavior,Planned,Medium,Backend,Backend Engineer,13,T020|T021,MySQL and Snowflake receive equivalent supported workflows,Improves multi-engine promise
Phase 2 - Quality Engineering,Testing,T040,Backend unit and API test suite,Introduce pytest structure for services routes and adapters,Planned,High,QA Automation,QA Engineer,13,T002|T010,Critical backend flows covered by automated tests and CI gates,Currently no formal test suite in repo
Phase 2 - Quality Engineering,Testing,T041,Frontend component and state tests,Add React tests for module flows and auth behavior,Planned,High,QA Automation,Frontend Engineer,8,T003|T010,Core UI paths validated in automation with stable mocks,Reduces regression risk
Phase 2 - Quality Engineering,Testing,T042,End to end happy path regression,Automate key flows from login to model deploy and workflow run,Planned,High,QA Automation,QA Engineer,13,T040|T041,Smoke suite passes on every release candidate,Covers cross-module integration
Phase 2 - Quality Engineering,Security,T043,SQL safety and permission test pack,Verify query guardrails role enforcement and restricted operations,Planned,High,Security,Security Engineer,8,T040,Unsafe queries are blocked and role boundaries are validated,Needed for production trust
Phase 2 - Quality Engineering,Performance,T044,Load and performance baseline,Measure API and UI performance under realistic metadata volumes,Planned,Medium,Performance Engineering,Performance Engineer,8,T040|T041,Baseline dashboard with target SLAs and hotspots,Supports scaling roadmap
Phase 3 - Data Testing and Semantic Layer,Data Testing,T050,Data quality rules engine,Create reusable tests for null uniqueness freshness and referential checks,Planned,High,Data Testing,Data Quality Engineer,13,T016|T017,Users can define run and store rule outcomes by dataset,Key requirement in your product vision
Phase 3 - Data Testing and Semantic Layer,Data Testing,T051,Quality run scheduler and alerts,Schedule quality suites and notify on threshold failures,Planned,High,Data Testing,Backend Engineer,8,T050|T017,Failed checks produce alert events and visible status in UI,Links quality with operations
Phase 3 - Data Testing and Semantic Layer,Semantic Layer,T052,Semantic model manager,Define business entities dimensions and measure-ready fields,Planned,High,Analytics Engineering,Analytics Engineer,13,T018|T014,Semantic definitions are versioned and queryable by AI assistants,Foundation for reporting layer
Phase 3 - Data Testing and Semantic Layer,Semantic Layer,T053,Metrics catalog and versioning,Centralize KPI formulas owners grain and change history,Planned,High,Analytics Engineering,Analytics Engineer,8,T052,Team can discover approved metrics with lineage and version metadata,Prevents metric drift
Phase 3 - Data Testing and Semantic Layer,Reporting,T054,Report layer SQL generation,Auto-generate curated marts and report views from semantic definitions,Planned,High,Reporting,Data Engineer,13,T052|T053,Report-ready objects can be generated and refreshed reproducibly,Matches all-in-one reporting goal
Phase 3 - Data Testing and Semantic Layer,Reporting,T055,AI report enhancement assistant,Suggest narrative highlights anomaly notes and chart recommendations,Planned,Medium,AI Engineering,AI Engineer,8,T054|T019,Assistant improves existing reports with explainable recommendations,Differentiator for adoption
Phase 3 - Data Testing and Semantic Layer,Reporting,T056,BI tool export connectors,Enable easy handoff to Power BI Tableau and Looker models,Planned,Medium,Integrations,Integration Engineer,8,T052|T054,Teams can publish curated objects to downstream BI tools,Supports enterprise adoption
Phase 4 - Automation and Operations,Automation,T060,Agentic pipeline authoring,Use AI planning to draft multi-step pipelines from business prompts,Planned,Medium,AI Engineering,AI Engineer,13,T016|T019,Generated plans are editable executable and traceable,Accelerates engineering work
Phase 4 - Automation and Operations,Observability,T061,Operational monitoring dashboard,Track run success failure latency and queue health across modules,Planned,High,SRE,SRE Engineer,8,T016|T017|T050,Ops dashboard shows system health and trend lines,Needed for reliable scale
Phase 4 - Automation and Operations,Governance,T062,Audit trail and approval workflow,Track who changed models pipelines and semantic definitions with approvals,Planned,High,Governance,Backend Engineer,13,T018|T052|T060,All critical changes are auditable and optionally approval-gated,Required for controlled environments
Phase 4 - Automation and Operations,DevOps,T063,CI CD automation with quality gates,Run lint tests security checks and deployment validations on pull requests,Planned,High,DevOps,DevOps Engineer,8,T040|T041|T043,PRs cannot merge when critical checks fail,Raises contribution confidence
Phase 4 - Automation and Operations,Release Management,T064,Release checklist and changelog discipline,Formalize release process rollback steps and communication templates,Planned,Medium,Program Management,Tech Lead,5,T063,Each release has checklist signoff and versioned notes,Improves team coordination
Phase 4 - Automation and Operations,Extensibility,T065,Adapter plugin SDK,Allow external teams to add new data source adapters safely,Planned,Medium,Platform Engineering,Backend Engineer,13,T011,New adapters integrate with minimal core code changes,Unlocks community contribution
Phase 4 - Automation and Operations,Security,T066,Granular access and tenancy model,Move from role-only access to project workspace and dataset scopes,Planned,High,Security,Security Engineer,13,T010|T022,Access can be scoped by team project and object level,Important for enterprise multi-team use
Phase 4 - Automation and Operations,Documentation,T067,Contributor onboarding tracks,Create role-based guides for frontend backend data and QA contributors,In Progress,Medium,Documentation,Developer Advocate,5,T004,New contributors can pick a path and ship a first PR quickly,Improves community contribution throughput
